participant_id, Mini_Item1_Music1, Mini_Item2_Music1, Mini_Item3_Music1, Mini_Item4_Music1, Mini_Item5_Music1, Mini_Item6_Music1, Mini_Item7_Music1, Mini_Item8_Music1, Mini_Item9_Music1, Mini_Item10_Music1, Mini_Item11_Music1, Mini_Item12_Music1, Mini_Item1_Music2, Mini_Item2_Music2, Mini_Item3_Music2, Mini_Item4_Music2, Mini_Item5_Music2, Mini_Item6_Music2, Mini_Item7_Music2, Mini_Item8_Music2, Mini_Item9_Music2, Mini_Item10_Music2, Mini_Item11_Music2, Mini_Item12_Music2, Mini_Item1_Music3, Mini_Item2_Music3, Mini_Item3_Music3, Mini_Item4_Music3, Mini_Item5_Music3, Mini_Item6_Music3, Mini_Item7_Music3, Mini_Item8_Music3, Mini_Item9_Music3, Mini_Item10_Music3, Mini_Item11_Music3, Mini_Item12_Music3
sub01,8,0,3,8,5,8,0,7,9,0,0,0,6,0,0,0,2,7,0,8,7,6,7,0,7,0,6,10,10,8,6,10,9,5,0,3
sub02,7,1,8,10,9,9,5,8,10,2,9,2,7,1,7,4,7,4,5,6,8,1,8,0,6,2,6,7,4,2,3,6,8,3,6,5
sub03,6,4,4,7,7,7,4,3,6,2,5,4,6,2,6,6,7,9,7,7,9,1,3,2,8,3,8,8,8,8,6,3,8,3,6,8
sub04,5,6,5,7,7,7,6,3,7,6,7,6,5,5,3,5,2,7,6,7,5,6,5,2,3,5,4,6,4,6,0,4,5,10,4,4
sub05,5,3,7,3,7,3,3,3,7,6,3,3,0,2,6,1,6,6,2,1,6,5,6,2,7,5,7,1,8,6,6,7,8,5,8,6
sub06,3,6,3,6,8,7,2,4,8,2,4,8,4,9,5,6,2,8,2,7,7,2,8,6,7,7,7,5,5,9,1,4,4,5,8,6
sub07,6,1,8,3,6,7,6,3,2,5,2,4,1,1,2,7,6,8,8,3,3,0,1,2,4,0,8,3,8,6,7,5,3,3,2,2
sub08,7,0,2,3,7,10,8,3,8,0,2,0,8,0,0,8,0,8,2,8,5,0,8,0,3,5,7,6,6,8,2,5,8,2,6,8
sub09,9,1,2,2,4,9,5,9,10,3,7,5,1,1,1,1,8,6,2,0,6,1,4,4,5,3,8,8,9,7,2,4,9,2,5,6
sub10,9,2,6,7,6,6,8,5,6,3,5,3,4,0,6,6,7,6,5,5,4,3,6,3, , , , , , , , , , , , 
sub11,5,0,4,6,8,9,7,2,6,1,2,9,6,0,0,1,10,10,1,7,0,3,5,7,7,1,3,3,8,8,1,4,5,5,4,8
sub12,7,5,1,1,5,10,3,4,10,1,1,6,9,8,2,0,9,9,2,4,9,2,3,9,8,7,5,5,7,10,5,4,8,4,3,7
sub13,7,10,5,10,10,1,1,4,10,10,4,3,8,7,3,10,10,10,10,10,9,9,9,9,10,2,2,10,10,10,4,9,10,9,10,6
sub14,7,2,9,1,8,10,0,6,8,2,8,2,2,0,2,2,2,2,0,7,0,1,6,3,3,1,2,1,1,1,1,5,1,4,7,1
sub15,7,1,7,6,7,6,5,6,6,4,7,2,6,1,6,6,6,6,6,7,5,4,7,2, , , , , , , , , , , , 
sub16,8,0,6,1,7,0,7,7,3,4,7,0,8,0,7,3,9,2,7,8,8,8,8,1,6,0,2,1,3,0,5,6,8,5,6,0
sub17,6,4,6,6,6,6,4,4,6,3,4,4,4,4,7,4,7,7,6,6,6,4,4,3,6,4,6,6,7,2,7,7,6,2,7,2
sub18,2,1,2,2,2,1,2,2,1,3,3,2,1,1,2,4,2,6,2,4,3,1,4,6,7,2,7,8,2,7,6,8,8,4,8,8
sub19,10,8,5,10,10,9,10,6,10,7,8,9,9,4,8,9,8,7,7,6,8,4,8,7,9,7,10,8,9,8,4,4,9,3,10,9
sub20,9,0,9,10,10,9,8,9,10,0,7,2,3,8,6,6,5,4,2,3,4,2,3,5,1,10,8,4,7,7,1,0,10,1,2,10
sub21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub22,3,7,8,8,8,8,2,4,7,3,6,6,4,2,2,9,7,5,2,7,9,3,7,3,5,2,2,9,9,9,6,9,9,2,9,2
